4.7079164 3.094 279.6 -48.09146246
4.7109636 3.088 279.6 -48.09138801
4.7145286 3.081 279.6 -48.09127983
4.7181045 3.074 279.6 -48.09114817
4.7216913 3.067 279.6 -48.09099627
4.7252889 3.060 279.6 -48.09082210
4.7283814 3.054 279.6 -48.09065334
4.7319995 3.047 279.6 -48.09043749
4.7356288 3.040 279.6 -48.09019291
4.7392692 3.033 279.6 -48.08993027
4.7011715 3.094 278.4 -48.09167405
4.7042144 3.088 278.4 -48.09163465
4.7077743 3.081 278.4 -48.09156899
4.7113450 3.074 278.4 -48.09147759
4.7149267 3.067 278.4 -48.09136696
4.7185192 3.060 278.4 -48.09123260
4.7216072 3.054 278.4 -48.09110117
4.7252202 3.047 278.4 -48.09091820
4.7288442 3.040 278.4 -48.09072174
4.7324794 3.033 278.4 -48.09049401
4.6944072 3.094 277.2 -48.09180868
4.6974457 3.088 277.2 -48.09180662
4.7010005 3.081 277.2 -48.09178106
4.7045661 3.074 277.2 -48.09173428
4.7081426 3.067 277.2 -48.09166453
4.7117299 3.060 277.2 -48.09156765
4.7148135 3.054 277.2 -48.09146587
4.7184213 3.047 277.2 -48.09133079
4.7220401 3.040 277.2 -48.09117190
4.7256700 3.033 277.2 -48.09098654
4.6876234 3.094 276.0 -48.09186144
4.6906575 3.088 276.0 -48.09189740
4.6942072 3.081 276.0 -48.09191466
4.6977676 3.074 276.0 -48.09190896
4.7013389 3.067 276.0 -48.09187623
4.7049211 3.060 276.0 -48.09182262
4.7080002 3.054 276.0 -48.09175863
4.7116027 3.047 276.0 -48.09166443
4.7152163 3.040 276.0 -48.09154347
4.7188410 3.033 276.0 -48.09139812
4.6808199 3.094 274.8 -48.09183238
4.6838495 3.088 274.8 -48.09190081
4.6873941 3.081 274.8 -48.09196046
4.6909494 3.074 274.8 -48.09199429
4.6945155 3.067 274.8 -48.09200997
4.6980924 3.060 274.8 -48.09199980
4.7011671 3.054 274.8 -48.09197124
4.7047644 3.047 274.8 -48.09191271
4.7083728 3.040 274.8 -48.09183658
4.7119922 3.033 274.8 -48.09173790
4.6734270 3.094 273.5 -48.09170221
4.6764519 3.088 273.5 -48.09180573
4.6799908 3.081 273.5 -48.09191670
4.6835405 3.074 273.5 -48.09199811
4.6871010 3.067 273.5 -48.09205801
4.6906723 3.060 273.5 -48.09208891
4.6937421 3.054 273.5 -48.09209941
4.6973337 3.047 273.5 -48.09209452
4.7009364 3.040 273.5 -48.09206520
4.7045501 3.033 273.5 -48.09200857
4.6665820 3.094 272.3 -48.09149355
4.6696024 3.088 272.3 -48.09163922
4.6731362 3.081 272.3 -48.09178562
4.6766807 3.074 272.3 -48.09191244
4.6802359 3.067 272.3 -48.09201360
4.6838020 3.060 272.3 -48.09209349
4.6868673 3.054 272.3 -48.09214250
4.6904537 3.047 272.3 -48.09217657
4.6940511 3.040 272.3 -48.09218594
4.6976595 3.033 272.3 -48.09217700
4.6597168 3.094 271.1 -48.09120156
4.6627328 3.088 271.1 -48.09138190
4.6662614 3.081 271.1 -48.09157254
4.6698006 3.074 271.1 -48.09174001
4.6733507 3.067 271.1 -48.09188656
4.6769115 3.060 271.1 -48.09201006
4.6799723 3.054 271.1 -48.09209456
4.6835534 3.047 271.1 -48.09217596
4.6871455 3.040 271.1 -48.09223286
4.6907486 3.033 271.1 -48.09226238
4.6528314 3.094 269.9 -48.09081616
4.6558429 3.088 269.9 -48.09103652
4.6593663 3.081 269.9 -48.09127245
4.6629003 3.074 269.9 -48.09148798
4.6664451 3.067 269.9 -48.09167866
4.6700007 3.060 269.9 -48.09184348
4.6730569 3.054 269.9 -48.09196509
4.6766327 3.047 269.9 -48.09208926
4.6802195 3.040 269.9 -48.09218736
4.6838173 3.033 269.9 -48.09226526
4.6459255 3.094 268.7 -48.09033988
4.6489326 3.088 268.7 -48.09059962
4.6524507 3.081 268.7 -48.09088391
4.6559795 3.074 268.7 -48.09114298
4.6595190 3.067 268.7 -48.09137847
4.6630693 3.060 268.7 -48.09158612
4.6661210 3.054 268.7 -48.09174768
4.6696915 3.047 268.7 -48.09191763
4.6732730 3.040 268.7 -48.09205872
4.6768654 3.033 268.7 -48.09217724
